genome	family
unclassified-kra_ERR9709202_	KARM
unclassified-kra_ERR9709203_	KARM
unclassified-kra_ERR9709204_	KARM
unclassified-kra_ERR9709206_	MORE
unclassified-kra_ERR9709208_	MORE
unclassified-kra_ERR9709209_	RISO
unclassified-kra_ERR9709210_	RISO
unclassified-kra_ERR9709211_	RISO
unclassified-kra_ERR9709212_	RISO
unclassified-kra_ERR9709213_	MÅSE
unclassified-kra_ERR9709214_	MÅSE
unclassified-kra_ERR9709215_	MÅSE
unclassified-kra_ERR9709216_	KALI
unclassified-kra_ERR9709217_	KALI
unclassified-kra_ERR9709218_	KALI
unclassified-kra_ERR9709219_	KALM
unclassified-kra_ERR9709220_	KALM
unclassified-kra_ERR9709221_	KALM
unclassified-kra_ERR9709222_	IDEI
unclassified-kra_ERR9709223_	IDEI
unclassified-kra_ERR9709224_	IDEI
unclassified-kra_ERR9709225_	BLEK
unclassified-kra_ERR9709226_	BLEK
unclassified-kra_ERR9709227_	BLEK
unclassified-kra_ERR9709228_	IDEO
unclassified-kra_ERR9709229_	IDEO
unclassified-kra_ERR9709230_	IDEO
unclassified-kra_ERR9709231_	MÅSE
unclassified-kra_ERR9709234_	MÅSE
unclassified-kra_ERR9709235_	RISO
unclassified-kra_ERR9709236_	RISO
unclassified-kra_ERR9709238_	IDEO
unclassified-kra_ERR9709240_	KALM
unclassified-kra_ERR9709241_	KARM
unclassified-kra_ERR9709242_	KALI
unclassified-kra_ERR9709243_	KALI
unclassified-kra_ERR9709244_	KALI
unclassified-kra_ERR9709245_	BLEK
unclassified-kra_ERR9709246_	BLEK
unclassified-kra_ERR9709247_	BLEK
unclassified-kra_ERR9709248_	IDEI
unclassified-kra_ERR9709249_	IDEI
unclassified-kra_ERR9709251_	IDEO
unclassified-kra_ERR9709252_	RISO
unclassified-kra_ERR9709253_	RISO
