"sample_id","cleaned_id","species"
"unclassified-kra_ERR9709202_","ERR9709202","Clupea"
"unclassified-kra_ERR9709203_","ERR9709203","Clupea"
"unclassified-kra_ERR9709204_","ERR9709204","Clupea"
"unclassified-kra_ERR9709206_","ERR9709206","Clupea"
"unclassified-kra_ERR9709208_","ERR9709208","Clupea"
"unclassified-kra_ERR9709209_","ERR9709209","Clupea"
"unclassified-kra_ERR9709210_","ERR9709210","Clupea"
"unclassified-kra_ERR9709211_","ERR9709211","Clupea"
"unclassified-kra_ERR9709212_","ERR9709212","Clupea"
"unclassified-kra_ERR9709213_","ERR9709213","Clupea"
"unclassified-kra_ERR9709214_","ERR9709214","Clupea"
"unclassified-kra_ERR9709215_","ERR9709215","Clupea"
"unclassified-kra_ERR9709216_","ERR9709216","Clupea"
"unclassified-kra_ERR9709217_","ERR9709217","Clupea"
"unclassified-kra_ERR9709218_","ERR9709218","Clupea"
"unclassified-kra_ERR9709219_","ERR9709219","Clupea"
"unclassified-kra_ERR9709220_","ERR9709220","Clupea"
"unclassified-kra_ERR9709221_","ERR9709221","Clupea"
"unclassified-kra_ERR9709222_","ERR9709222","Clupea"
"unclassified-kra_ERR9709223_","ERR9709223","Clupea"
"unclassified-kra_ERR9709224_","ERR9709224","Clupea"
"unclassified-kra_ERR9709225_","ERR9709225","Clupea"
"unclassified-kra_ERR9709226_","ERR9709226","Clupea"
"unclassified-kra_ERR9709227_","ERR9709227","Clupea"
"unclassified-kra_ERR9709228_","ERR9709228","Clupea"
"unclassified-kra_ERR9709229_","ERR9709229","Clupea"
"unclassified-kra_ERR9709230_","ERR9709230","Clupea"
"unclassified-kra_ERR9709231_","ERR9709231","Clupea"
"unclassified-kra_ERR9709234_","ERR9709234","Clupea"
"unclassified-kra_ERR9709235_","ERR9709235","Clupea"
"unclassified-kra_ERR9709236_","ERR9709236","Clupea"
"unclassified-kra_ERR9709238_","ERR9709238","Clupea"
"unclassified-kra_ERR9709240_","ERR9709240","Clupea"
"unclassified-kra_ERR9709241_","ERR9709241","Clupea"
"unclassified-kra_ERR9709242_","ERR9709242","Clupea"
"unclassified-kra_ERR9709243_","ERR9709243","Clupea"
"unclassified-kra_ERR9709244_","ERR9709244","Clupea"
"unclassified-kra_ERR9709245_","ERR9709245","Clupea"
"unclassified-kra_ERR9709246_","ERR9709246","Clupea"
"unclassified-kra_ERR9709247_","ERR9709247","Clupea"
"unclassified-kra_ERR9709248_","ERR9709248","Clupea"
"unclassified-kra_ERR9709249_","ERR9709249","Clupea"
"unclassified-kra_ERR9709251_","ERR9709251","Clupea"
"unclassified-kra_ERR9709252_","ERR9709252","Clupea"
"unclassified-kra_ERR9709253_","ERR9709253","Clupea"
