"sample_id","cleaned_id","species"
"unclassified-kra_ERR9709134_","ERR9709134","Clupea"
"unclassified-kra_ERR9709153_","ERR9709153","Clupea"
"unclassified-kra_ERR9709203_","ERR9709203","Clupea"
"unclassified-kra_ERR9709204_","ERR9709204","Clupea"
"unclassified-kra_ERR9709208_","ERR9709208","Clupea"
"unclassified-kra_ERR9709209_","ERR9709209","Clupea"
"unclassified-kra_ERR9709210_","ERR9709210","Clupea"
"unclassified-kra_ERR9709211_","ERR9709211","Clupea"
"unclassified-kra_ERR9709214_","ERR9709214","Clupea"
"unclassified-kra_ERR9709217_","ERR9709217","Clupea"
"unclassified-kra_ERR9709218_","ERR9709218","Clupea"
"unclassified-kra_ERR9709219_","ERR9709219","Clupea"
"unclassified-kra_ERR9709223_","ERR9709223","Clupea"
"unclassified-kra_ERR9709228_","ERR9709228","Clupea"
"unclassified-kra_ERR9709234_","ERR9709234","Clupea"
"unclassified-kra_ERR9709235_","ERR9709235","Clupea"
"unclassified-kra_ERR9709236_","ERR9709236","Clupea"
"unclassified-kra_ERR9709238_","ERR9709238","Clupea"
"unclassified-kra_ERR9709240_","ERR9709240","Clupea"
"unclassified-kra_ERR9709242_","ERR9709242","Clupea"
"unclassified-kra_ERR9709243_","ERR9709243","Clupea"
"unclassified-kra_ERR9709244_","ERR9709244","Clupea"
"unclassified-kra_ERR9709245_","ERR9709245","Clupea"
"unclassified-kra_ERR9709248_","ERR9709248","Clupea"
"unclassified-kra_ERR9709249_","ERR9709249","Clupea"
"unclassified-kra_ERR9709253_","ERR9709253","Clupea"
"unclassified-kra_SRR12106874_","SRR12106874","Clupea"
"unclassified-kra_SRR12106875_","SRR12106875","Clupea"
"unclassified-kra_SRR12106878_","SRR12106878","Clupea"
"unclassified-kra_SRR12106882_","SRR12106882","Clupea"
"unclassified-kra_SRR12106899_","SRR12106899","Clupea"
"unclassified-kra_SRR12106930_","SRR12106930","Clupea"
"unclassified-kra_SRR12106934_","SRR12106934","Clupea"
"unclassified-kra_SRR12106937_","SRR12106937","Clupea"
"unclassified-kra_SRR12106945_","SRR12106945","Clupea"
"unclassified-kra_SRR12106949_","SRR12106949","Clupea"
"unclassified-kra_SRR12106953_","SRR12106953","Clupea"
"unclassified-kra_SRR12106955_","SRR12106955","Clupea"
"unclassified-kra_SRR12106956_","SRR12106956","Clupea"
