"sample_id","cleaned_id","species"
"unclassified-kra_ERR9709092_","ERR9709092","Clupea"
"unclassified-kra_ERR9709093_","ERR9709093","Clupea"
"unclassified-kra_ERR9709096_","ERR9709096","Clupea"
"unclassified-kra_ERR9709100_","ERR9709100","Clupea"
"unclassified-kra_ERR9709101_","ERR9709101","Clupea"
"unclassified-kra_ERR9709105_","ERR9709105","Clupea"
"unclassified-kra_ERR9709107_","ERR9709107","Clupea"
"unclassified-kra_ERR9709109_","ERR9709109","Clupea"
"unclassified-kra_ERR9709114_","ERR9709114","Clupea"
"unclassified-kra_ERR9709115_","ERR9709115","Clupea"
"unclassified-kra_ERR9709117_","ERR9709117","Clupea"
"unclassified-kra_ERR9709118_","ERR9709118","Clupea"
"unclassified-kra_ERR9709119_","ERR9709119","Clupea"
"unclassified-kra_ERR9709121_","ERR9709121","Clupea"
"unclassified-kra_ERR9709122_","ERR9709122","Clupea"
"unclassified-kra_ERR9709123_","ERR9709123","Clupea"
"unclassified-kra_ERR9709124_","ERR9709124","Clupea"
"unclassified-kra_ERR9709125_","ERR9709125","Clupea"
"unclassified-kra_ERR9709126_","ERR9709126","Clupea"
"unclassified-kra_ERR9709127_","ERR9709127","Clupea"
"unclassified-kra_ERR9709136_","ERR9709136","Clupea"
"unclassified-kra_ERR9709137_","ERR9709137","Clupea"
"unclassified-kra_ERR9709140_","ERR9709140","Clupea"
"unclassified-kra_ERR9709141_","ERR9709141","Clupea"
"unclassified-kra_ERR9709142_","ERR9709142","Clupea"
"unclassified-kra_ERR9709144_","ERR9709144","Clupea"
"unclassified-kra_ERR9709145_","ERR9709145","Clupea"
"unclassified-kra_ERR9709146_","ERR9709146","Clupea"
"unclassified-kra_ERR9709147_","ERR9709147","Clupea"
"unclassified-kra_ERR9709149_","ERR9709149","Clupea"
"unclassified-kra_ERR9709155_","ERR9709155","Clupea"
"unclassified-kra_ERR9709158_","ERR9709158","Clupea"
"unclassified-kra_ERR9709178_","ERR9709178","Clupea"
"unclassified-kra_ERR9709187_","ERR9709187","Clupea"
"unclassified-kra_ERR9709190_","ERR9709190","Clupea"
"unclassified-kra_ERR9709195_","ERR9709195","Clupea"
"unclassified-kra_ERR9709198_","ERR9709198","Clupea"
"unclassified-kra_ERR9709199_","ERR9709199","Clupea"
"unclassified-kra_ERR9709203_","ERR9709203","Clupea"
"unclassified-kra_ERR9709204_","ERR9709204","Clupea"
"unclassified-kra_ERR9709208_","ERR9709208","Clupea"
"unclassified-kra_ERR9709209_","ERR9709209","Clupea"
"unclassified-kra_ERR9709211_","ERR9709211","Clupea"
"unclassified-kra_ERR9709214_","ERR9709214","Clupea"
"unclassified-kra_ERR9709217_","ERR9709217","Clupea"
"unclassified-kra_ERR9709218_","ERR9709218","Clupea"
"unclassified-kra_ERR9709219_","ERR9709219","Clupea"
"unclassified-kra_ERR9709223_","ERR9709223","Clupea"
"unclassified-kra_ERR9709228_","ERR9709228","Clupea"
"unclassified-kra_ERR9709232_","ERR9709232","Clupea"
"unclassified-kra_ERR9709234_","ERR9709234","Clupea"
"unclassified-kra_ERR9709235_","ERR9709235","Clupea"
"unclassified-kra_ERR9709237_","ERR9709237","Clupea"
"unclassified-kra_ERR9709238_","ERR9709238","Clupea"
"unclassified-kra_ERR9709240_","ERR9709240","Clupea"
"unclassified-kra_ERR9709243_","ERR9709243","Clupea"
"unclassified-kra_ERR9709244_","ERR9709244","Clupea"
"unclassified-kra_ERR9709249_","ERR9709249","Clupea"
"unclassified-kra_ERR9709253_","ERR9709253","Clupea"
"unclassified-kra_SRR12106874_","SRR12106874","Clupea"
"unclassified-kra_SRR12106875_","SRR12106875","Clupea"
"unclassified-kra_SRR12106878_","SRR12106878","Clupea"
"unclassified-kra_SRR12106882_","SRR12106882","Clupea"
"unclassified-kra_SRR12106899_","SRR12106899","Clupea"
"unclassified-kra_SRR12106905_","SRR12106905","Clupea"
"unclassified-kra_SRR12106906_","SRR12106906","Clupea"
"unclassified-kra_SRR12106915_","SRR12106915","Clupea"
"unclassified-kra_SRR12106930_","SRR12106930","Clupea"
"unclassified-kra_SRR12106932_","SRR12106932","Clupea"
"unclassified-kra_SRR12106934_","SRR12106934","Clupea"
"unclassified-kra_SRR12106937_","SRR12106937","Clupea"
"unclassified-kra_SRR12106945_","SRR12106945","Clupea"
"unclassified-kra_SRR12106949_","SRR12106949","Clupea"
"unclassified-kra_SRR12106953_","SRR12106953","Clupea"
"unclassified-kra_SRR12106955_","SRR12106955","Clupea"
"unclassified-kra_SRR12106956_","SRR12106956","Clupea"
"unclassified-kra_SRR12106957_","SRR12106957","Clupea"
