run_accession	fastq_galaxy	sample_accession	sample_alias
ERR9709095	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709095/ERR9709095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709095/ERR9709095_2.fastq.gz	SAMEA14369560	BAL_22_HER002a
ERR9709097	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709097/ERR9709097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709097/ERR9709097_2.fastq.gz	SAMEA14369562	BAL_22_HER002c
ERR9709098	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709098/ERR9709098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709098/ERR9709098_2.fastq.gz	SAMEA14369563	BAL_22_HER002d
ERR9709102	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709102/ERR9709102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709102/ERR9709102_2.fastq.gz	SAMEA14369567	BAL_22_HER003d
ERR9709104	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709104/ERR9709104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709104/ERR9709104_2.fastq.gz	SAMEA14369569	BAL_22_HER004a
ERR9709106	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709106/ERR9709106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709106/ERR9709106_2.fastq.gz	SAMEA14369571	BAL_22_HER004c
ERR9709110	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709110/ERR9709110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709110/ERR9709110_2.fastq.gz	SAMEA14369575	BAL_22_HER005b
ERR9709111	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709111/ERR9709111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709111/ERR9709111_2.fastq.gz	SAMEA14369576	BAL_22_HER005c
ERR9709112	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709112/ERR9709112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709112/ERR9709112_2.fastq.gz	SAMEA14369577	BAL_22_HER005d
ERR9709113	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709113/ERR9709113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709113/ERR9709113_2.fastq.gz	SAMEA14369578	BAL_22_HER006a
