sample	Pteromalidae	Formicidae	Halictidae	Apidae	Braconidae	Diprionidae	Figitidae	Bethylidae	Ichneumonidae	Cynipidae	Vespidae	Eupelmidae	Tenthredinidae	Dryinidae	Agaonidae	Eurytomidae	Ampulicidae	Scelionidae	Aphelinidae	Megachilidae	Mymaridae	Platygastridae	Trichogrammatidae	Eulophidae	Papilionidae	Andrenidae	Colletidae	Cephidae	Diapriidae	Encyrtidae	Torymidae	Ormyridae	Megastigmidae	Crabronidae	Pompilidae	Melittidae	Athaliidae	Tiphiidae	Gasteruptiidae	Chalcididae	Orussidae
Pteromalidae	0	0.58551	0.49528	0.52267	0.36882	0.55539	0.55552	0.58889	0.55629	0.28985	0.63022	0.69175	0.53573	0.51781	0.64566	0.69004	0.57246	0.49528	0.57849	0.52307	0.49099	0.48555	0.58679	0.63835	0.08336	0.53852	0.52535	0.57175	0.57277	0.61073	0.70781	0.73873	0.72751	0.27883	0.59091	0.53101	0.53017	0.58549	0.56225	0.70345	0.53091
Formicidae	0.55691	0	0.61771	0.60837	0.36535	0.53848	0.53033	0.61472	0.55544	0.28552	0.66448	0.53378	0.52007	0.55242	0.54494	0.51723	0.65693	0.48923	0.51152	0.61948	0.44865	0.48664	0.52048	0.54868	0.23478	0.62187	0.6293	0.58501	0.53372	0.53202	0.53925	0.55835	0.5542	0.41905	0.66377	0.62582	0.52176	0.65921	0.55668	0.59176	0.54646
Halictidae	0.35017	0.45915	0	0.55898	0.25546	0.3776	0.29085	0.43543	0.38154	0.16906	0.46652	0.33394	0.36551	0.23555	0.35705	0.36589	0.49942	0.30089	0.24002	0.56055	0.30841	0.28147	0.36562	0.38809	0.05326	0.58035	0.61566	0.42222	0.28003	0.36501	0.28421	0.3966	0.3913	0.47791	0.48524	0.56312	0.36416	0.48719	0.40255	0.40534	0.41196
Apidae	0.45632	0.55841	0.69025	0	0.32259	0.47999	0.43987	0.55129	0.47846	0.23886	0.59915	0.39621	0.47502	0.4175	0.43863	0.41622	0.62993	0.40018	0.38077	0.74866	0.35521	0.3974	0.43439	0.43626	0.04964	0.71735	0.74018	0.53429	0.39679	0.40752	0.39647	0.49855	0.40758	0.60426	0.60932	0.71597	0.47768	0.60305	0.50372	0.46716	0.51117
Braconidae	1.13014	1.177	1.10718	1.13221	0	1.15651	1.15622	1.16904	1.19957	0.70571	1.22472	1.1154	1.16208	1.52607	1.15718	1.18745	1.14488	1.20393	1.07417	1.17313	1.0685	1.08268	1.10232	1.10222	0.24301	1.10122	1.13723	1.23996	1.11661	1.10152	1.10668	1.12718	1.09867	0.6084	1.1484	1.11391	1.14979	1.12965	1.1616	1.19008	1.15407
Diprionidae	0.14586	0.14869	0.14027	0.14439	0.09912	0	0.14334	0.14925	0.14822	0.07519	0.16276	0.14182	0.20605	0.13768	0.14642	0.1367	0.14575	0.13081	0.13634	0.13369	0.13294	0.12721	0.14021	0.14721	0.03758	0.13736	0.1373	0.15579	0.14006	0.14301	0.14081	0.14629	0.14582	0.13572	0.15091	0.13338	0.19415	0.14573	0.15003	0.15891	0.14119
Figitidae	0.43711	0.43872	0.32369	0.39644	0.2969	0.42942	0	0.44157	0.43781	0.25559	0.47562	0.42916	0.42871	0.40754	0.42599	0.42211	0.44654	0.41182	0.40281	0.42841	0.39372	0.39344	0.41654	0.42096	0.09919	0.42596	0.42436	0.4451	0.45974	0.41868	0.43046	0.43352	0.43465	0.19714	0.44095	0.41857	0.41727	0.4444	0.43711	0.47369	0.40526
Bethylidae	0.89124	0.9781	0.93207	0.95564	0.57738	0.86002	0.84932	0	0.89061	0.43726	1.02817	0.84348	0.83585	0.84133	0.86874	0.81428	0.95337	0.77424	0.80095	0.9388	0.69743	0.75407	0.83788	0.90107	0.08116	0.92499	0.93282	0.93485	0.80163	0.82787	0.84258	0.90588	0.89747	0.43573	1.00925	0.92064	0.85366	1.00534	0.90019	0.92547	0.90466
Ichneumonidae	0.71828	0.75402	0.6968	0.70763	0.50548	0.72868	0.71845	0.75985	0	0.37669	0.80892	0.69968	0.71672	0.67767	0.70798	0.67678	0.74217	0.63542	0.66415	0.7068	0.60259	0.64093	0.62405	0.70982	0.07981	0.6949	0.70612	0.77723	0.70805	0.6944	0.70409	0.71787	0.72033	0.4711	0.76062	0.71164	0.69591	0.74906	0.72791	0.7737	0.73462
Cynipidae	1.09171	1.13066	0.90066	1.03049	0.86745	1.07832	1.22347	1.08823	1.09882	0	1.12944	1.08355	1.08017	1.84986	1.11532	1.25638	1.11958	1.19882	1.03965	1.15972	1.02565	1.05448	1.04473	1.07203	0.26469	0.99321	1.09315	1.18442	1.10429	1.06117	1.08135	1.10015	1.10546	0.56013	1.11031	1.09108	1.04911	1.10565	1.08452	1.12194	1.08495
