genome	family
GCA_000004775.1_Ngir_1.0_genomic	Pteromalidae
GCA_000004795.1_Nlon_1.0_genomic	Pteromalidae
GCA_000143395.3_Attacep1.0_genomic	Formicidae
GCA_000346575.1_ASM34657v1_genomic	Halictidae
GCA_000819425.1_Ami_v1_genomic	Apidae
GCA_000956155.1_ASM95615v1_genomic	Braconidae
GCA_001045655.1_ASM104565v1_genomic	Formicidae
GCA_001263575.2_Nlec1.1_genomic	Diprionidae
GCA_001276565.1_ASM127656v1_genomic	Apidae
GCA_001675545.1_ASM167554v1_genomic	Braconidae
GCA_001855655.1_ASM185565v1_genomic	Figitidae
GCA_002156465.1_MCINOGS1.0_genomic	Braconidae
GCA_002201625.1_Edil_v1.0_genomic	Apidae
GCA_002217905.1_Apiscer_1.0_genomic	Apidae
GCA_002249905.1_ASM224990v1_genomic	Pteromalidae
GCA_002290385.1_ApisCC1.0_genomic	Apidae
GCA_002806875.1_ASM280687v1_genomic	Apidae
GCA_003055095.1_ASM305509v1_genomic	Bethylidae
GCA_003063725.1_AZXXO_genomic	Formicidae
GCA_003063745.1_AZXXM_genomic	Formicidae
GCA_003063765.1_AZXXP_genomic	Formicidae
GCA_003063805.1_AZXXQ_genomic	Formicidae
GCA_003063815.1_AJDMW_genomic	Formicidae
GCA_003063835.1_AZXXR_genomic	Formicidae
GCA_003063865.1_AZXXN_genomic	Formicidae
GCA_003121605.1_ASM312160v1_genomic	Figitidae
GCA_003314205.2_INRA_AMelMel_1.1_genomic	Apidae
GCA_003575265.1_Mp_gnA_genomic	Formicidae
GCA_003595255.1_Sf_gnA_genomic	Formicidae
GCA_004195275.1_ASM419527v1_genomic	Formicidae
GCA_004307685.1_ASM430768v1_genomic	Apidae
GCA_004329405.1_Cnig_gn1_genomic	Formicidae
GCA_004480015.1_UT_Atex_0.2_genomic	Formicidae
GCA_004794745.1_tlon_1.0_genomic	Formicidae
GCA_004916985.1_UKY_Npine_v1_genomic	Diprionidae
GCA_009025955.1_ASM902595v1_genomic	Figitidae
GCA_009026005.1_ASM902600v1_genomic	Figitidae
GCA_009299965.1_ASM929996v1_genomic	Formicidae
GCA_009299975.1_ASM929997v1_genomic	Formicidae
GCA_009394715.1_ASM939471v1_genomic	Ichneumonidae
GCA_009602685.1_ASM960268v1_genomic	Figitidae
GCA_009650705.1_Solenopsis_invicta_SB1.0_genomic	Formicidae
GCA_009792835.1_RUTG_Adors_1.0_genomic	Apidae
GCA_009823575.1_CNRS_Gbra_1.0_genomic	Figitidae
GCA_009859135.1_ASM985913v1_genomic	Formicidae
GCA_010014905.2_ASM1001490v2_genomic	Cynipidae
GCA_010016045.1_ASM1001604v1_genomic	Figitidae
GCA_010367695.1_ASM1036769v1_genomic	Formicidae
GCA_010416905.1_CU_Pdor_10_genomic	Vespidae
GCA_010416925.1_CU_Pmet_PB_genomic	Vespidae
GCA_010645115.1_Tetragonula_carbonaria_1.1_genomic	Apidae
GCA_010645135.1_Tetragonula_clypearis_1.1_genomic	Apidae
GCA_010645165.1_Tetragonula_davenporti_1.1_genomic	Apidae
GCA_010645185.1_Tetragonula_hockingsi_1.1_genomic	Apidae
GCA_011057455.1_ASM1105745v1_genomic	Figitidae
GCA_011100585.1_ASM1110058v1_genomic	Apidae
GCA_011421695.1_ASM1142169v1_genomic	Ichneumonidae
GCA_011426435.1_ASM1142643v1_genomic	Braconidae
GCA_011426455.1_ASM1142645v1_genomic	Braconidae
GCA_011634685.1_Tetragonula_mellipes1_1.1_genomic	Apidae
GCA_011634705.1_ASM1163470v1_genomic	Cynipidae
GCA_011634795.1_ASM1163479v1_genomic	Figitidae
GCA_011634955.1_Tetragonula_mellipes2_1.1_genomic	Apidae
GCA_011636585.1_Timm.v1.0_genomic	Formicidae
GCA_011636605.1_Tbic.v1.0_genomic	Formicidae
GCA_011636635.1_Tsim.v1.0_genomic	Formicidae
GCA_011638315.1_Tpar.v1.0_genomic	Formicidae
GCA_011762715.2_ASM1176271v2_genomic	Cynipidae
GCA_012977825.3_ZJU_Ppup_chr_2.0_genomic	Pteromalidae
GCA_013202065.2_CoteBio_Ctyphae_genomic	Braconidae
GCA_013761285.1_ASM1376128v1_genomic	Ichneumonidae
GCA_013841205.1_ASM1384120v1_genomic	Apidae
GCA_013841245.2_ASM1384124v2_genomic	Apidae
GCA_014083525.1_V.mandarinia_Nanaimo_a1.0_genomic	Vespidae
GCA_014466185.1_ASM1446618v1_genomic	Vespidae
GCA_014466195.1_ASM1446619v1_genomic	Vespidae
GCA_014737335.1_ASM1473733v1_genomic	Apidae
GCA_014737355.1_ASM1473735v1_genomic	Apidae
GCA_014737365.1_ASM1473736v1_genomic	Apidae
GCA_014737385.1_ASM1473738v1_genomic	Apidae
GCA_014737395.1_ASM1473739v1_genomic	Apidae
GCA_014737405.1_ASM1473740v1_genomic	Apidae
GCA_014737455.1_ASM1473745v1_genomic	Apidae
GCA_014737475.1_ASM1473747v1_genomic	Apidae
GCA_014737485.1_ASM1473748v1_genomic	Apidae
GCA_014737505.1_ASM1473750v1_genomic	Apidae
GCA_014737525.1_ASM1473752v1_genomic	Apidae
GCA_014737535.1_ASM1473753v1_genomic	Apidae
GCA_014825455.1_ASM1482545v1_genomic	Formicidae
GCA_014825475.1_ASM1482547v1_genomic	Formicidae
GCA_014825495.1_ASM1482549v1_genomic	Formicidae
GCA_014825605.1_ASM1482560v1_genomic	Formicidae
GCA_014825645.1_ASM1482564v1_genomic	Formicidae
GCA_014825685.1_ASM1482568v1_genomic	Formicidae
GCA_014825825.1_ASM1482582v1_genomic	Apidae
GCA_014825875.1_ASM1482587v1_genomic	Apidae
GCA_014825925.1_ASM1482592v1_genomic	Apidae
GCA_014825975.1_ASM1482597v1_genomic	Apidae
GCA_014839585.1_ASM1483958v1_genomic	Formicidae
GCA_015476485.1_ASM1547648v1_genomic	Figitidae
GCA_015776835.1_Ae_genome_v2_genomic	Braconidae
GCA_016647725.1_ASM1664772v1_genomic	Pteromalidae
GCA_017141405.1_ASM1714140v1_genomic	Braconidae
GCA_017163975.1_ASM1716397v1_genomic	Eupelmidae
GCA_017607455.1_ASM1760745v1_genomic	Formicidae
GCA_017607525.1_ASM1760752v1_genomic	Formicidae
GCA_017607545.1_ASM1760754v1_genomic	Formicidae
GCA_017607565.1_ASM1760756v1_genomic	Formicidae
GCA_018257835.1_ELAP_v2.0_genomic	Tenthredinidae
GCA_018340375.1_Gfla_zju_1.0_genomic	Dryinidae
GCA_018420115.1_EuSal_v.1_genomic	Tenthredinidae
GCA_018491695.1_ASM1849169v1_genomic	Ichneumonidae
GCA_018492975.1_ASM1849297v1_genomic	Ichneumonidae
GCA_018691235.1_QMUL_Sinv_Sequel2_genomic	Formicidae
GCA_018812205.1_ASM1881220v1_genomic	Ichneumonidae
GCA_018835575.1_Cchi_ZJU_1.0_genomic	Braconidae
GCA_018881525.1_ASM1888152v1_genomic	Braconidae
GCA_018883505.1_ASM1888350v1_genomic	Agaonidae
GCA_018902145.1_ASM1890214v1_genomic	Ichneumonidae
GCA_018902275.1_ASM1890227v1_genomic	Braconidae
GCA_018902295.1_ASM1890229v1_genomic	Ichneumonidae
GCA_018902335.1_ASM1890233v1_genomic	Braconidae
GCA_018906735.1_ASM1890673v1_genomic	Ichneumonidae
GCA_018906755.1_ASM1890675v1_genomic	Agaonidae
GCA_018906775.1_ASM1890677v1_genomic	Eurytomidae
GCA_018906895.1_ASM1890689v1_genomic	Ichneumonidae
GCA_018906915.1_ASM1890691v1_genomic	Braconidae
GCA_018906965.1_ASM1890696v1_genomic	Pteromalidae
GCA_018906985.1_ASM1890698v1_genomic	Pteromalidae
GCA_018907035.1_ASM1890703v1_genomic	Pteromalidae
GCA_018907045.1_ASM1890704v1_genomic	Agaonidae
GCA_018907135.1_ASM1890713v1_genomic	Agaonidae
GCA_018907185.1_ASM1890718v1_genomic	Agaonidae
GCA_018907195.1_ASM1890719v1_genomic	Agaonidae
GCA_018907245.1_ASM1890724v1_genomic	Agaonidae
GCA_019049445.1_ASM1904944v1_genomic	Ampulicidae
GCA_019201815.1_ASM1920181v1_genomic	Apidae
GCA_019250055.1_ASM1925005v1_genomic	Apidae
GCA_019321825.1_ASM1932182v1_genomic	Apidae
GCA_019399895.1_Cobs2.1_genomic	Formicidae
GCA_019453355.1_ASM1945335v1_genomic	Apidae
GCA_019453375.1_ASM1945337v1_genomic	Apidae
GCA_019453415.1_ASM1945341v1_genomic	Apidae
GCA_019677175.1_ASM1967717v1_genomic	Apidae
GCA_019969155.1_UNCG_FV_genome_genomic	Apidae
GCA_020010945.3_AU_Mell_v2_genomic	Pteromalidae
GCA_020141525.2_ASM2014152v2_genomic	Apidae
GCA_020341155.1_Ebur_v1.0_genomic	Formicidae
GCA_020615435.1_ZJU_Trem_1.0_genomic	Scelionidae
GCA_020882685.1_ARS_Aatr_GLS1.0_genomic	Aphelinidae
GCA_020882725.1_ARS_Acer_aS1_genomic	Aphelinidae
GCA_021460005.1_UI_Talp.v1.0_genomic	Formicidae
GCA_021464445.1_ULB_Chis2_1.0_genomic	Formicidae
GCA_021733165.1_IOZ_Mmed_1.0_genomic	Braconidae
GCA_022315175.2_ASM2231517v2_genomic	Megachilidae
GCA_022376115.1_LBAL_v1.0_genomic	Halictidae
GCA_022405125.1_ASM2240512v1_genomic	Megachilidae
GCA_022537945.1_ASM2253794v1_genomic	Braconidae
GCA_022575985.1_ASM2257598v1_genomic	Mymaridae
GCA_022816865.1_ASM2281686v1_genomic	Platygastridae
GCA_022816885.1_ASM2281688v1_genomic	Scelionidae
GCA_022816905.1_ASM2281690v1_genomic	Scelionidae
GCA_022816925.1_ASM2281692v1_genomic	Platygastridae
GCA_022816965.1_ASM2281696v1_genomic	Scelionidae
GCA_022816985.1_ASM2281698v1_genomic	Scelionidae
GCA_022817005.1_ASM2281700v1_genomic	Scelionidae
GCA_022817025.1_ASM2281702v1_genomic	Scelionidae
GCA_022817045.1_ASM2281704v1_genomic	Scelionidae
GCA_022817065.1_ASM2281706v1_genomic	Scelionidae
GCA_022817085.1_ASM2281708v1_genomic	Scelionidae
GCA_022817105.1_ASM2281710v1_genomic	Scelionidae
GCA_022817125.1_ASM2281712v1_genomic	Scelionidae
GCA_022817145.1_ASM2281714v1_genomic	Scelionidae
GCA_022817165.1_ASM2281716v1_genomic	Scelionidae
GCA_022817185.1_ASM2281718v1_genomic	Scelionidae
GCA_022817205.1_ASM2281720v1_genomic	Scelionidae
GCA_022817225.1_ASM2281722v1_genomic	Scelionidae
GCA_022817245.1_ASM2281724v1_genomic	Scelionidae
GCA_022817265.1_ASM2281726v1_genomic	Scelionidae
GCA_022817285.1_ASM2281728v1_genomic	Scelionidae
GCA_022817305.1_ASM2281730v1_genomic	Scelionidae
GCA_022817325.1_ASM2281732v1_genomic	Scelionidae
