sample	Pteromalidae	Formicidae	Halictidae	Apidae	Braconidae	Diprionidae	Figitidae	Bethylidae	Ichneumonidae	Cynipidae	Vespidae	Eupelmidae	Tenthredinidae	Dryinidae	Agaonidae	Eurytomidae	Ampulicidae	Scelionidae	Aphelinidae	Megachilidae	Mymaridae	Platygastridae	Trichogrammatidae	Eulophidae	Papilionidae	Andrenidae	Colletidae	Cephidae	Diapriidae	Encyrtidae	Torymidae	Ormyridae	Megastigmidae	Crabronidae	Pompilidae	Melittidae	Athaliidae	Tiphiidae	Gasteruptiidae	Chalcididae	Orussidae
Pteromalidae	0	0.79957	0.53601	0.64812	1.19866	0.42516	0.66013	1.17477	0.93531	1.05525	0.73618	0.90875	0.63397	NA	1.22856	0.82747	NA	0.9012	1.17827	0.56234	NA	0.86622	0.83718	1.09754	NA	0.47667	0.53841	0.53014	0.90854	1.25693	0.73009	0.5953	0.65633	0.38657	0.36583	NA	0.34454	0.35612	0.35142	0.46639	NA
Formicidae	0.79957	0	0.73678	0.82364	1.25513	0.41485	0.63944	1.3234	0.97338	1.09619	0.81579	0.65464	0.62802	NA	0.98806	0.57727	NA	0.92533	1.0215	0.72224	NA	0.90781	0.73408	0.91184	NA	0.58292	0.69922	0.55719	0.85376	1.06103	0.52295	0.42455	0.47149	0.66865	0.42159	NA	0.34014	0.41096	0.34858	0.37995	NA
Halictidae	0.53601	0.73678	0	0.90828	1.03334	0.29744	0.36305	1.03894	0.73817	0.73012	0.60883	0.43524	0.48261	NA	0.70506	0.44373	NA	0.61693	0.47737	0.75704	NA	0.55962	0.57126	0.71916	NA	0.60839	0.80819	0.42458	0.46001	0.81066	0.27904	0.30704	0.34585	1.04495	0.29708	NA	0.23474	0.29205	0.24627	0.25256	NA
Apidae	0.64812	0.82364	0.90828	0	1.14317	0.36993	0.52869	1.2089	0.84302	0.92971	0.74426	0.47085	0.58791	NA	0.7784	0.46021	NA	0.75077	0.72352	0.99661	NA	0.73549	0.61238	0.70821	NA	0.73066	0.92138	0.51526	0.60905	0.77834	0.37294	0.37865	0.33573	1.22638	0.38233	NA	0.31025	0.37078	0.31227	0.29058	NA
Braconidae	1.19866	1.25513	1.03334	1.14317	0	0.91507	1.1411	1.54991	1.4859	1.29647	1.20972	1.0876	1.15502	NA	1.4332	1.1463	NA	1.63093	1.3645	1.11625	NA	1.34592	1.1573	1.25356	NA	0.91503	1.03659	1.11101	1.26151	1.40524	0.95348	0.87377	0.88518	0.5569	0.82279	NA	0.84757	0.79884	0.84249	0.87699	NA
Diprionidae	0.42516	0.41485	0.29744	0.36993	0.91507	0	0.33424	0.67493	0.56156	0.81048	0.35385	0.33736	0.52478	NA	0.5833	0.28518	NA	0.56597	0.6212	0.27206	NA	0.53867	0.40978	0.5246	NA	0.19903	0.25912	0.24225	0.47685	0.64447	0.23148	0.15116	0.1887	0.51555	0.09301	NA	0.14738	0.08541	0.09761	0.10773	NA
Figitidae	0.66013	0.63944	0.36305	0.52869	1.1411	0.33424	0	0.953	0.81319	1.17342	0.58347	0.55515	0.55021	NA	0.81781	0.49667	NA	0.85863	0.86036	0.49821	NA	0.79555	0.62466	0.73391	NA	0.39414	0.46612	0.43061	0.80708	0.8897	0.43173	0.33022	0.37578	0.30467	0.26445	NA	0.26946	0.26169	0.26772	0.29819	NA
Bethylidae	1.17477	1.3234	1.03894	1.2089	1.54991	0.67493	0.953	0	1.40493	1.23297	1.21149	0.9553	0.93694	NA	1.40132	0.84595	NA	1.26009	1.3732	1.02979	NA	1.1953	1.0744	1.37211	NA	0.84449	0.97606	0.88043	1.10974	1.42397	0.78477	0.71255	0.76823	0.51323	0.70308	NA	0.59318	0.6909	0.61249	0.64156	NA
Ichneumonidae	0.93531	0.97338	0.73817	0.84302	1.4859	0.56156	0.81319	1.40493	0	1.16895	0.91149	0.79401	0.81607	NA	1.14008	0.70436	NA	1.05099	1.15994	0.73794	NA	1.05386	0.77094	1.05417	NA	0.60255	0.70493	0.71893	1.02564	1.22054	0.65154	0.54164	0.59768	0.62644	0.49078	NA	0.46496	0.47524	0.47184	0.51477	NA
Cynipidae	1.05525	1.09619	0.73012	0.92971	1.29647	0.81048	1.17342	1.23297	1.16895	0	1.00938	0.98016	0.9726	NA	1.22227	1.18559	NA	1.44684	1.16355	1.04017	NA	1.16397	0.99096	1.09998	NA	0.7648	0.93217	0.9973	1.1381	1.18925	0.88614	0.82769	0.86809	0.46684	0.78173	NA	0.73915	0.77319	0.76121	0.80148	NA
Vespidae	0.73618	0.81579	0.60883	0.74426	1.20972	0.35385	0.58347	1.21149	0.91149	1.00938	0	0.59388	0.60078	NA	0.96712	0.4975	NA	0.85826	0.93492	0.59667	NA	0.84464	0.6883	0.8662	NA	0.46292	0.56149	0.46378	0.77485	1.0209	0.45451	0.34252	0.40927	0.76413	0.31342	NA	0.28345	0.30775	0.27951	0.31991	NA
Eupelmidae	0.90875	0.65464	0.43524	0.47085	1.0876	0.33736	0.55515	0.9553	0.79401	0.98016	0.59388	0	0.54266	NA	1.01159	0.68507	NA	0.77006	0.99938	0.46898	NA	0.74528	0.68717	0.90206	NA	0.38602	0.45538	0.42616	0.771	1.04752	0.58385	0.46171	0.52185	0.21301	0.26936	NA	0.26799	0.26563	0.26898	0.36373	NA
Tenthredinidae	0.63397	0.62802	0.48261	0.58791	1.15502	0.52478	0.55021	0.93694	0.81607	0.9726	0.60078	0.54266	0	NA	0.82499	0.46399	NA	0.80156	0.83162	0.46397	NA	0.77329	0.62083	0.72827	NA	0.37415	0.44498	0.46745	0.70561	0.89114	0.41428	0.32532	0.35929	0.73992	0.25847	NA	0.44493	0.24553	0.27217	0.30065	NA
Dryinidae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Agaonidae	1.22856	0.98806	0.70506	0.7784	1.4332	0.5833	0.81781	1.40132	1.14008	1.22227	0.96712	1.01159	0.82499	NA	0	0.93402	NA	1.08433	1.34539	0.69898	NA	1.05215	1.02046	1.27653	NA	0.6081	0.6784	0.66264	1.09089	1.44616	0.84919	0.70537	0.79235	0.41532	0.49989	NA	0.48989	0.48681	0.49924	0.63796	NA
Eurytomidae	0.82747	0.57727	0.44373	0.46021	1.1463	0.28518	0.49667	0.84595	0.70436	1.18559	0.4975	0.68507	0.46399	NA	0.93402	0	NA	0.72465	0.90539	0.42935	NA	0.69781	0.62882	0.81306	NA	0.34333	0.40728	0.37156	0.72412	0.96514	0.54013	0.46489	0.45851	0.26271	0.23483	NA	0.22164	0.22587	0.23142	0.31423	NA
Ampulicidae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scelionidae	0.9012	0.92533	0.61693	0.75077	1.63093	0.56597	0.85863	1.26009	1.05099	1.44684	0.85826	0.77006	0.80156	NA	1.08433	0.72465	NA	0	0.90832	0.71647	NA	1.24868	0.85653	0.98721	NA	0.47783	0.71186	0.69776	1.02794	1.14191	0.64466	0.55197	0.47797	0.37439	0.48906	NA	0.50581	0.47445	0.49176	0.54896	NA
Aphelinidae	1.17827	1.0215	0.47737	0.72352	1.3645	0.6212	0.86036	1.3732	1.15994	1.16355	0.93492	0.99938	0.83162	NA	1.34539	0.90539	NA	0.90832	0	0.74906	NA	1.08211	1.0472	1.23572	NA	0.66276	0.7492	0.7016	1.11226	1.47077	0.84805	0.71668	0.783	0.29357	0.54179	NA	0.53057	0.53026	0.5247	0.64161	NA
Megachilidae	0.56234	0.72224	0.75704	0.99661	1.11625	0.27206	0.49821	1.02979	0.73794	1.04017	0.59667	0.46898	0.46397	NA	0.69898	0.42935	NA	0.71647	0.74906	0	NA	0.70215	0.50739	0.63214	NA	0.58715	0.76428	0.41139	0.62824	0.74982	0.35416	0.28519	0.31165	1.05903	0.2874	NA	0.22778	0.27537	0.23567	0.22601	NA
Mymaridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Platygastridae	0.86622	0.90781	0.55962	0.73549	1.34592	0.53867	0.79555	1.1953	1.05386	1.16397	0.84464	0.74528	0.77329	NA	1.05215	0.69781	NA	1.24868	1.08211	0.70215	NA	0	0.87047	0.94848	NA	0.49422	0.69532	0.66849	0.9945	1.19804	0.61606	0.53584	0.56799	0.37181	0.47026	NA	0.48163	0.46061	0.48354	0.51275	NA
Trichogrammatidae	0.83718	0.73408	0.57126	0.61238	1.1573	0.40978	0.62466	1.0744	0.77094	0.99096	0.6883	0.68717	0.62083	NA	1.02046	0.62882	NA	0.85653	1.0472	0.50739	NA	0.87047	0	0.95662	NA	0.4318	0.48839	0.48482	0.81711	1.07176	0.56486	0.45774	0.51148	0.23147	0.33973	NA	0.3404	0.33113	0.33319	0.39998	NA
Eulophidae	1.09754	0.91184	0.71916	0.70821	1.25356	0.5246	0.73391	1.37211	1.05417	1.09998	0.8662	0.90206	0.72827	NA	1.27653	0.81306	NA	0.98721	1.23572	0.63214	NA	0.94848	0.95662	0	NA	0.54638	0.61862	0.62339	0.97701	1.32298	0.72373	0.61823	0.68109	0.41023	0.44605	NA	0.43031	0.44661	0.43655	0.54938	NA
Papilionidae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
