sample	Pteromalidae	Formicidae	Halictidae	Apidae	Braconidae	Diprionidae	Figitidae	Bethylidae	Ichneumonidae	Cynipidae	Vespidae	Eupelmidae	Tenthredinidae	Dryinidae	Agaonidae	Eurytomidae	Ampulicidae	Scelionidae	Aphelinidae	Megachilidae	Mymaridae	Platygastridae	Trichogrammatidae	Eulophidae	Papilionidae	Andrenidae	Colletidae	Cephidae	Diapriidae	Encyrtidae	Torymidae	Ormyridae	Megastigmidae	Crabronidae	Pompilidae	Melittidae	Athaliidae	Tiphiidae	Gasteruptiidae	Chalcididae	Orussidae
Pteromalidae	0	0.56375	0.4096	0.47474	1.03001	0.3049	0.48633	0.8696	0.67576	0.77077	0.51574	0.59073	0.47053	NA	0.80022	0.53199	NA	0.68862	0.8628	0.43423	NA	0.66808	0.59197	0.76139	NA	0.38493	0.38826	0.40872	0.65846	0.9054	0.46173	0.35956	0.40178	0.33269	0.24208	NA	0.23972	0.23634	0.23731	0.2864	NA
Formicidae	0.57886	0	0.50568	0.58206	1.02996	0.28811	0.46406	0.97312	0.69873	1.12403	0.54234	0.47408	0.4592	NA	0.7454	0.419	NA	0.68431	0.8085	0.48966	NA	0.72317	0.54596	0.67897	NA	0.38988	0.4664	0.38436	0.63965	0.82596	0.36874	0.2899	0.32539	0.54492	0.26471	NA	0.23622	0.25864	0.23565	0.25096	NA
Halictidae	0.43671	0.57572	0	0.66131	0.82143	0.23427	0.31076	0.90792	0.57346	0.57849	0.46675	0.36557	0.3955	NA	0.59221	0.36218	NA	0.5164	0.44672	0.54582	NA	0.51024	0.48093	0.61511	NA	0.44416	0.55414	0.34288	0.41253	0.72533	0.2359	0.23562	0.26906	0.82658	0.2111	NA	0.18245	0.20701	0.18547	0.19003	NA
Apidae	0.5052	0.58472	0.59178	0	0.99944	0.26772	0.40954	0.94429	0.64362	0.98311	0.51789	0.37549	0.44538	NA	0.63567	0.35903	NA	0.59715	0.62495	0.61622	NA	0.6248	0.4855	0.57266	NA	0.45711	0.56875	0.36786	0.50205	0.66099	0.29053	0.26979	0.25666	0.89786	0.24916	NA	0.22219	0.24245	0.21897	0.2091	NA
Braconidae	0.58905	0.61632	0.58205	0.57177	0	0.41791	0.53203	0.67424	0.84519	0.82392	0.6422	0.50285	0.53216	NA	0.65138	0.50065	NA	0.86218	0.64542	0.52948	NA	0.63439	0.53751	0.57902	NA	0.46895	0.47154	0.53787	0.57634	0.64876	0.44397	0.40064	0.41351	0.37609	0.37272	NA	0.38395	0.36652	0.37819	0.3861	NA
Diprionidae	0.41249	0.42553	0.28939	0.37438	1.26141	0	0.30926	0.74548	0.60477	0.99094	0.34298	0.30454	0.45873	NA	0.523	0.27268	NA	0.62884	0.5385	0.25765	NA	0.44649	0.38258	0.54971	NA	0.187	0.24177	0.22704	0.49538	0.60273	0.21544	0.13981	0.17671	0.44176	0.08414	NA	0.13165	0.07742	0.08849	0.09722	NA
Figitidae	0.50671	0.50688	0.30386	0.42714	1.14536	0.26665	0	0.80458	0.65579	1.01147	0.44423	0.43626	0.43161	NA	0.58873	0.38925	NA	0.72131	0.7048	0.39619	NA	0.63996	0.50081	0.60493	NA	0.31858	0.36396	0.3394	0.64744	0.73679	0.33409	0.2474	0.28377	0.26973	0.19445	NA	0.20398	0.19178	0.19758	0.21486	NA
Bethylidae	0.64411	0.67402	0.54836	0.6268	1.23879	0.38141	0.53886	0	0.77471	1.12613	0.59302	0.55677	0.53583	NA	0.7899	0.53563	NA	0.77212	0.82309	0.54203	NA	0.74431	0.63583	0.8138	NA	0.44766	0.54763	0.46307	0.71372	0.83409	0.46997	0.52537	0.55503	0.39814	0.52021	NA	0.38186	0.51351	0.4689	0.48575	NA
Ichneumonidae	0.60295	0.61594	0.50875	0.54983	0.85998	0.34388	0.51691	0.8828	0	0.91768	0.58877	0.50388	0.51791	NA	0.73779	0.45113	NA	0.69497	0.78792	0.4779	NA	0.72452	0.52172	0.67714	NA	0.39815	0.44093	0.45942	0.65821	0.80859	0.40635	0.33016	0.36536	0.47962	0.28857	NA	0.28662	0.28149	0.28379	0.30028	NA
Cynipidae	0.62583	0.51684	0.49735	0.4686	0.75248	0.40675	0.58283	0.57667	0.61681	0	0.60396	0.47308	0.51851	NA	0.6221	0.49659	NA	0.68099	0.57521	0.58074	NA	0.57489	0.48625	0.52211	NA	0.49668	0.44333	0.63345	0.52726	0.57394	0.42537	0.38762	0.40469	0.33416	0.36413	NA	0.36068	0.36131	0.36071	0.37034	NA
Vespidae	0.5625	0.62199	0.46674	0.56937	0.9123	0.26764	0.45942	1.03672	0.66856	0.75433	0	0.47127	0.47166	NA	0.76966	0.39715	NA	0.67069	0.82491	0.45705	NA	0.73788	0.56127	0.71942	NA	0.36032	0.42574	0.36706	0.64888	0.88954	0.35011	0.25593	0.30589	0.64178	0.2192	NA	0.21052	0.21476	0.20369	0.22577	NA
Eupelmidae	0.66313	0.51394	0.34969	0.38694	1.17613	0.27437	0.43282	0.77071	0.65179	1.0791	0.44528	0	0.4261	NA	0.76202	0.50021	NA	0.66628	0.66639	0.36987	NA	0.56108	0.51892	0.69369	NA	0.29817	0.36634	0.32389	0.60875	0.726	0.44076	0.32192	0.36618	0.19773	0.20238	NA	0.21542	0.19923	0.20338	0.25459	NA
Tenthredinidae	0.49274	0.49828	0.3823	0.46369	1.17309	0.38006	0.43139	0.78843	0.65792	0.88672	0.45273	0.42759	0	NA	0.58406	0.36824	NA	0.68082	0.67672	0.37307	NA	0.61724	0.49615	0.5985	NA	0.30305	0.35077	0.35922	0.57808	0.73007	0.3237	0.24456	0.27403	0.55566	0.19134	NA	0.29164	0.18311	0.20013	0.21626	NA
Dryinidae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Agaonidae	0.72555	0.59431	0.46555	0.50094	1.16243	0.39735	0.57242	0.86115	0.71487	0.97198	0.56539	0.60068	0.58406	NA	0	0.53787	NA	0.7275	0.83719	0.49142	NA	0.7023	0.62607	0.74923	NA	0.42289	0.43928	0.43888	0.67407	0.87404	0.48988	0.38607	0.4304	0.3436	0.29407	NA	0.30258	0.28792	0.29572	0.34124	NA
Eurytomidae	0.6505	0.48124	0.36414	0.39054	1.33808	0.23011	0.40687	0.66789	0.61623	1.48545	0.39965	0.52076	0.38538	NA	0.77997	0	NA	0.66065	0.71535	0.35192	NA	0.59131	0.4929	0.62764	NA	0.27477	0.33602	0.29555	0.57083	0.70845	0.41623	0.34565	0.35197	0.2473	0.19247	NA	0.19953	0.18579	0.19091	0.24481	NA
Ampulicidae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scelionidae	0.5659	0.58821	0.43377	0.50269	0.93769	0.33973	0.51469	0.77396	0.68304	1.09424	0.54369	0.47703	0.4935	NA	0.68032	0.44518	NA	0	0.63153	0.45285	NA	0.76509	0.53687	0.61787	NA	0.33057	0.43086	0.43414	0.62726	0.73016	0.39377	0.32961	0.31181	0.30939	0.28712	NA	0.2996	0.28062	0.28974	0.31009	NA
Aphelinidae	0.65003	0.58104	0.33885	0.46208	1.09127	0.42327	0.52472	0.80546	0.68726	1.02	0.51895	0.66639	0.51888	NA	0.77394	0.55216	NA	0.61789	0	0.46271	NA	0.69981	0.6629	0.70917	NA	0.40003	0.51451	0.41458	0.66098	0.84544	0.55372	0.40094	0.43667	0.25295	0.32088	NA	0.35049	0.3154	0.31641	0.35694	NA
Megachilidae	0.44373	0.57907	0.55256	0.72254	1.10733	0.2237	0.40156	0.91139	0.61814	0.83275	0.46211	0.39048	0.3802	NA	0.54752	0.35503	NA	0.63161	0.66277	0	NA	0.60846	0.43573	0.55499	NA	0.44803	0.53993	0.33509	0.54755	0.67103	0.28996	0.22363	0.24929	0.77731	0.20686	NA	0.17941	0.1991	0.17995	0.17514	NA
Mymaridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Platygastridae	0.55186	0.54936	0.38255	0.47198	1.09932	0.40435	0.51246	0.75205	0.65895	1.02168	0.49686	0.52596	0.50858	NA	0.67706	0.45978	NA	0.7724	0.70458	0.45354	NA	0	0.57779	0.60927	NA	0.33716	0.47252	0.40936	0.62247	0.75227	0.42867	0.33371	0.35764	0.31116	0.29	NA	0.31723	0.28502	0.29657	0.30854	NA
Trichogrammatidae	0.58834	0.5283	0.41293	0.45327	1.15242	0.3061	0.45353	0.77594	0.59613	1.03983	0.4708	0.50418	0.45331	NA	0.73388	0.46473	NA	0.67918	0.71361	0.37783	NA	0.63822	0	0.67635	NA	0.31392	0.39254	0.34373	0.59936	0.69781	0.44046	0.32019	0.35771	0.21166	0.24422	NA	0.26981	0.23868	0.24204	0.27659	NA
Eulophidae	0.66274	0.58121	0.46397	0.48128	1.15156	0.33408	0.48261	0.8138	0.70401	1.10753	0.52112	0.5632	0.48184	NA	0.81166	0.53574	NA	0.71051	0.82755	0.42337	NA	0.68151	0.62028	0	NA	0.35683	0.42515	0.39265	0.65637	0.85036	0.45994	0.47225	0.50807	0.34493	0.36471	NA	0.30844	0.36508	0.35833	0.43099	NA
Papilionidae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
