sample	Pteromalidae	Formicidae	Halictidae	Apidae	Braconidae	Diprionidae	Figitidae	Bethylidae	Ichneumonidae	Cynipidae	Vespidae	Eupelmidae	Tenthredinidae	Dryinidae	Agaonidae	Eurytomidae	Ampulicidae	Scelionidae	Aphelinidae	Megachilidae	Mymaridae	Platygastridae	Trichogrammatidae	Eulophidae	Papilionidae	Andrenidae	Colletidae	Cephidae	Diapriidae	Encyrtidae	Torymidae	Ormyridae	Megastigmidae	Crabronidae	Pompilidae	Melittidae	Athaliidae	Tiphiidae	Gasteruptiidae	Chalcididae	Orussidae
Pteromalidae	0	0.57121	0.42272	0.4895	0.74948	0.35063	0.49631	0.74006	0.63728	0.69078	0.53811	0.62484	0.48138	NA	0.76106	0.58531	NA	0.62126	0.74145	0.43893	NA	0.60443	0.59015	0.70865	NA	0.38493	0.42421	0.41906	0.62474	0.77185	0.53485	0.45875	0.49416	0.32396	0.30926	NA	0.29391	0.30229	0.2989	0.3782	NA
Formicidae	0.57121	0	0.53843	0.58339	0.77117	0.34359	0.48452	0.79641	0.65473	0.70809	0.57944	0.4932	0.47794	NA	0.66134	0.44797	NA	0.63263	0.67616	0.53062	NA	0.6244	0.53699	0.6263	NA	0.45136	0.51809	0.43579	0.59834	0.69325	0.41456	0.35021	0.38154	0.50112	0.34819	NA	0.2907	0.34091	0.29684	0.31929	NA
Halictidae	0.42272	0.53843	0	0.62462	0.68132	0.25893	0.30727	0.68375	0.53917	0.53486	0.46675	0.35745	0.38879	NA	0.52129	0.36316	NA	0.47149	0.38538	0.54917	NA	0.43727	0.44434	0.52896	NA	0.46649	0.5756	0.35023	0.37399	0.57684	0.24487	0.26618	0.29486	0.68635	0.25866	NA	0.21008	0.25484	0.21927	0.22424	NA
Apidae	0.4895	0.58339	0.62462	0	0.7274	0.31219	0.41816	0.75347	0.59304	0.63468	0.54241	0.38113	0.45435	NA	0.56032	0.37412	NA	0.54586	0.53131	0.66516	NA	0.53774	0.46883	0.52301	NA	0.53516	0.63079	0.40971	0.46688	0.56029	0.31433	0.31838	0.28747	0.76022	0.32097	NA	0.26858	0.31279	0.2701	0.25371	NA
Braconidae	0.74948	0.77117	0.68132	0.7274	0	0.62782	0.72656	0.87321	0.85252	0.78658	0.75379	0.7045	0.73218	NA	0.83491	0.72867	NA	0.89835	0.81112	0.7164	NA	0.80451	0.73309	0.77058	NA	0.6278	0.68273	0.71424	0.77357	0.82534	0.64567	0.6081	0.6136	0.43561	0.58296	NA	0.59529	0.57084	0.59278	0.60966	NA
Diprionidae	0.35063	0.34359	0.25893	0.31219	0.62782	0	0.28638	0.50463	0.43845	0.57675	0.30066	0.28867	0.4157	NA	0.45159	0.24959	NA	0.44114	0.47398	0.23948	NA	0.42437	0.3401	0.41559	NA	0.18102	0.2294	0.21608	0.38505	0.48741	0.20746	0.14054	0.17243	0.40989	0.08888	NA	0.13727	0.08192	0.09307	0.10223	NA
Figitidae	0.49631	0.48452	0.30727	0.41816	0.72656	0.28638	0	0.64545	0.57813	0.73953	0.4517	0.43454	0.4315	NA	0.58046	0.39786	NA	0.60073	0.60158	0.39886	NA	0.56916	0.476	0.53689	NA	0.32926	0.37802	0.35433	0.57503	0.61577	0.35508	0.28343	0.31634	0.26439	0.23357	NA	0.23747	0.23141	0.23611	0.2595	NA
Bethylidae	0.74006	0.79641	0.68375	0.75347	0.87321	0.50463	0.64545	0	0.82523	0.76275	0.75447	0.6465	0.63804	NA	0.82399	0.5945	NA	0.77304	0.81418	0.67978	NA	0.74816	0.69893	0.8138	NA	0.59377	0.65594	0.61132	0.71372	0.83177	0.56362	0.52537	0.55503	0.40842	0.52021	NA	0.45749	0.51351	0.4689	0.48575	NA
Ichneumonidae	0.63728	0.65473	0.53917	0.59304	0.85252	0.43845	0.57813	0.82523	0	0.73775	0.62613	0.56837	0.57958	NA	0.72615	0.52091	NA	0.68895	0.73415	0.53905	NA	0.69018	0.55645	0.69031	NA	0.46305	0.52122	0.52883	0.67797	0.75797	0.49144	0.42621	0.46017	0.47703	0.39408	NA	0.37726	0.38399	0.38177	0.4094	NA
Cynipidae	0.69078	0.70809	0.53486	0.63468	0.78658	0.57675	0.73953	0.76275	0.73775	0	0.67082	0.65779	0.65438	NA	0.75864	0.74435	NA	0.83952	0.7356	0.68428	NA	0.73577	0.66264	0.70967	NA	0.55324	0.63582	0.66547	0.72534	0.74579	0.61407	0.58542	0.60534	0.37849	0.56204	NA	0.5397	0.55762	0.55136	0.57218	NA
