sample	unclassified-kra_ERR9709092_	unclassified-kra_ERR9709093_	unclassified-kra_ERR9709094_	unclassified-kra_ERR9709096_	unclassified-kra_ERR9709099_	unclassified-kra_ERR9709100_	unclassified-kra_ERR9709101_	unclassified-kra_ERR9709103_	unclassified-kra_ERR9709105_	unclassified-kra_ERR9709107_	unclassified-kra_ERR9709108_	unclassified-kra_ERR9709109_	unclassified-kra_ERR9709114_	unclassified-kra_ERR9709115_	unclassified-kra_ERR9709117_	unclassified-kra_ERR9709118_	unclassified-kra_ERR9709119_	unclassified-kra_ERR9709121_	unclassified-kra_ERR9709122_	unclassified-kra_ERR9709123_	unclassified-kra_ERR9709124_	unclassified-kra_ERR9709125_	unclassified-kra_ERR9709126_	unclassified-kra_ERR9709127_	unclassified-kra_ERR9709129_	unclassified-kra_ERR9709130_	unclassified-kra_ERR9709132_	unclassified-kra_ERR9709134_	unclassified-kra_ERR9709135_	unclassified-kra_ERR9709136_	unclassified-kra_ERR9709137_	unclassified-kra_ERR9709140_	unclassified-kra_ERR9709141_	unclassified-kra_ERR9709142_	unclassified-kra_ERR9709144_	unclassified-kra_ERR9709145_	unclassified-kra_ERR9709146_	unclassified-kra_ERR9709147_	unclassified-kra_ERR9709149_	unclassified-kra_ERR9709155_	unclassified-kra_ERR9709158_	unclassified-kra_ERR9709167_	unclassified-kra_ERR9709172_	unclassified-kra_ERR9709173_	unclassified-kra_ERR9709174_	unclassified-kra_ERR9709177_	unclassified-kra_ERR9709178_	unclassified-kra_ERR9709180_	unclassified-kra_ERR9709184_	unclassified-kra_ERR9709187_	unclassified-kra_ERR9709189_	unclassified-kra_ERR9709190_	unclassified-kra_ERR9709191_	unclassified-kra_ERR9709194_	unclassified-kra_ERR9709195_	unclassified-kra_ERR9709196_	unclassified-kra_ERR9709198_	unclassified-kra_ERR9709199_	unclassified-kra_ERR9709203_	unclassified-kra_ERR9709204_	unclassified-kra_ERR9709208_	unclassified-kra_ERR9709209_	unclassified-kra_ERR9709211_	unclassified-kra_ERR9709214_	unclassified-kra_ERR9709217_	unclassified-kra_ERR9709218_	unclassified-kra_ERR9709219_	unclassified-kra_ERR9709223_	unclassified-kra_ERR9709228_	unclassified-kra_ERR9709232_	unclassified-kra_ERR9709234_	unclassified-kra_ERR9709235_	unclassified-kra_ERR9709237_	unclassified-kra_ERR9709238_	unclassified-kra_ERR9709240_	unclassified-kra_ERR9709243_	unclassified-kra_ERR9709244_	unclassified-kra_ERR9709249_	unclassified-kra_ERR9709253_
unclassified-kra_ERR9709092_	0	0.0542826	0.0802497	0.0638296	0.140436	0.0515042	0.0575896	0.22831	0.0682285	0.0687024	0.128854	0.0536262	0.0971573	0.133099	0.0901494	0.102481	0.137416	0.0829036	0.0843928	0.141843	0.117941	0.0883731	0.103522	0.0909206	0.106254	0.172986	0.17335	0.172109	0.100541	0.112404	0.133857	0.128508	0.101988	0.139624	0.130974	0.118355	0.184048	0.12647	0.101209	0.135791	0.122523	0.129451	0.207843	0.177923	0.142785	0.112499	0.128886	0.125032	0.282496	0.144118	0.182205	0.148954	0.133694	0.170823	0.0854427	0.134512	0.109637	0.127945	0.0949746	0.0990876	0.0992966	0.0993416	0.0998648	0.100141	0.0986613	0.0993226	0.0983207	0.0961737	0.0992603	0.0926198	0.0995028	0.0994903	0.121492	0.0994521	0.0994096	0.0991304	0.0991838	0.0998452	0.0993853
unclassified-kra_ERR9709093_	0.0542826	0	0.0835395	0.0155449	0.129124	0.0251762	0.0207017	0.233619	0.0219445	0.0214973	0.131981	0.0275084	0.0427073	0.104988	0.0368452	0.0372079	0.119202	0.0417475	0.0340321	0.128915	0.0899185	0.0327588	0.0348246	0.0400087	0.0769676	0.126109	0.117726	0.106872	0.0810424	0.0693971	0.0948407	0.0729068	0.0737216	0.0948652	0.0580722	0.0801812	0.165889	0.0726808	0.0762859	0.109521	0.062494	0.12058	0.20049	0.152065	0.132212	0.075378	0.0691522	0.0829534	0.25677	0.104521	0.128915	0.10608	0.0674211	0.138097	0.0384016	0.0894157	0.0422742	0.108383	0.0321164	0.0346388	0.0344947	0.0345834	0.0347365	0.0348584	0.0342346	0.0345902	0.0340543	0.0335113	0.0343619	0.0319649	0.0344653	0.0346126	0.0501406	0.0344098	0.0343708	0.0343816	0.0345598	0.0348249	0.0347029
unclassified-kra_ERR9709094_	0.0802497	0.0835395	0	0.092408	0.125358	0.071442	0.0815263	0.209829	0.0956966	0.0961579	0.115714	0.0726272	0.151031	0.170132	0.140134	0.159035	0.159474	0.125244	0.136469	0.157933	0.156995	0.142628	0.163581	0.141582	0.144288	0.216706	0.213052	0.223329	0.127294	0.161658	0.175033	0.187281	0.135687	0.187488	0.197709	0.156231	0.207354	0.177172	0.139211	0.171174	0.176024	0.130438	0.198309	0.181083	0.15095	0.153015	0.177096	0.150956	0.264207	0.188259	0.217614	0.196612	0.190111	0.209103	0.140003	0.177713	0.1691	0.154832	0.154149	0.158534	0.159579	0.159684	0.159083	0.160953	0.158155	0.158866	0.157661	0.156633	0.159034	0.152621	0.159341	0.159842	0.184744	0.158768	0.159092	0.158694	0.159337	0.159995	0.15967
unclassified-kra_ERR9709096_	0.0638296	0.0155449	0.092408	0	0.123003	0.0221137	0.016335	0.231936	0.0232884	0.0222872	0.135363	0.0207051	0.0288262	0.0927252	0.0215711	0.0199142	0.10563	0.0295829	0.0195102	0.11712	0.0750587	0.0167228	0.0169199	0.0247861	0.0664224	0.111951	0.110945	0.0932905	0.0707492	0.0535723	0.0794995	0.0577744	0.0617522	0.080365	0.0386411	0.0657509	0.152974	0.0601323	0.0630633	0.0967028	0.0459407	0.1237	0.190114	0.148026	0.12756	0.0641871	0.0534191	0.0780577	0.288713	0.0917416	0.120645	0.0933692	0.0497832	0.126522	0.022982	0.0854664	0.023068	0.0940043	0.0128116	0.015242	0.0155395	0.0157907	0.0156073	0.0158094	0.0156799	0.015593	0.0155023	0.0137028	0.0156682	0.0119041	0.0156919	0.0156844	0.0319356	0.0157315	0.0156713	0.0157376	0.0157346	0.0158673	0.0155909
unclassified-kra_ERR9709099_	0.140436	0.129124	0.125358	0.123003	0	0.101648	0.119467	0.123497	0.133316	0.135191	0.129245	0.093868	0.134445	0.152012	0.125406	0.142639	0.133444	0.109263	0.124681	0.122167	0.134688	0.127144	0.141172	0.130036	0.106495	0.204301	0.182843	0.218781	0.0863966	0.144345	0.169225	0.149442	0.103416	0.175721	0.166693	0.139444	0.178713	0.1501	0.102122	0.146469	0.164674	0.172971	0.167607	0.190794	0.170428	0.130799	0.179333	0.165465	0.167127	0.176444	0.209667	0.183763	0.185469	0.185629	0.124197	0.149576	0.145167	0.130154	0.137305	0.138817	0.13845	0.137355	0.142011	0.14202	0.137356	0.138837	0.13698	0.13954	0.138084	0.141936	0.138842	0.138838	0.181144	0.138841	0.139226	0.13736	0.139609	0.139991	0.140781
unclassified-kra_ERR9709100_	0.0515042	0.0251762	0.071442	0.0221137	0.101648	0	0	0.211373	0.0319918	0.0326099	0.113065	0.0157429	0.0391277	0.0874301	0.0346132	0.0402288	0.0957369	0.0334335	0.0314194	0.10548	0.0710521	0.0316788	0.0378444	0.0361405	0.058531	0.116608	0.115424	0.107543	0.0594223	0.0594661	0.0806864	0.0698084	0.0541286	0.0843689	0.0645093	0.0714601	0.141969	0.0681212	0.054251	0.0889872	0.0630285	0.109222	0.177112	0.154875	0.117916	0.063331	0.0718028	0.0842234	0.228665	0.0898186	0.12381	0.0939318	0.0739977	0.122378	0.0318186	0.0864096	0.0448966	0.0837827	0.034648	0.0358366	0.0356357	0.0353938	0.0360011	0.0362606	0.0354059	0.035446	0.035003	0.0358723	0.0356815	0.0357366	0.0356818	0.0357211	0.0550621	0.0355569	0.0357202	0.0353237	0.0355707	0.0360788	0.0362306
unclassified-kra_ERR9709101_	0.0575896	0.0207017	0.0815263	0.016335	0.119467	0	0	0.217133	0.029376	0.0286131	0.123177	0.0202422	0.0335352	0.0903515	0.0293628	0.0298717	0.102556	0.0337621	0.0269254	0.112565	0.0737366	0.0244509	0.0268321	0.0311686	0.0663523	0.115612	0.108457	0.0972099	0.0697179	0.0577317	0.0809696	0.0617196	0.0629663	0.0835643	0.0497808	0.0699946	0.144761	0.0635864	0.0628737	0.0935588	0.0536898	0.115473	0.193249	0.154119	0.123765	0.0662234	0.0618019	0.0835949	0.250426	0.0908642	0.120762	0.0934652	0.0598411	0.124667	0.0268545	0.0819277	0.0330823	0.0899723	0.0234359	0.0253829	0.0255634	0.025547	0.0256345	0.0258613	0.0253581	0.0255938	0.0251977	0.0242357	0.0256967	0.0230734	0.0256712	0.0258634	0.0463995	0.0257704	0.0257995	0.0256636	0.0257263	0.0259006	0.0256085
unclassified-kra_ERR9709103_	0.22831	0.233619	0.209829	0.231936	0.123497	0.211373	0.217133	0	0.233793	0.231231	0.213706	0.203576	0.247637	0.259764	0.235619	0.27314	0.228943	0.212454	0.233179	0.219993	0.233729	0.238875	0.277447	0.237124	0.229567	0.31473	0.319994	0.309997	0.198232	0.245592	0.268504	0.277053	0.219634	0.280159	0.300605	0.232049	0.286165	0.275543	0.222848	0.254065	0.305361	0.256798	0.257235	0.302495	0.264743	0.249407	0.271835	0.295132	0.215281	0.275026	0.31473	0.283034	0.306855	0.289598	0.231644	0.276107	0.275161	0.232293	0.270216	0.276687	0.277083	0.277457	0.277176	0.274883	0.277398	0.27738	0.272097	0.275388	0.274911	0.271084	0.274973	0.274974	0.302495	0.277449	0.280105	0.280115	0.27497	0.277342	0.274705
unclassified-kra_ERR9709105_	0.0682285	0.0219445	0.0956966	0.0232884	0.133316	0.0319918	0.029376	0.233793	0	0	0.114557	0.0305162	0.0458715	0.10602	0.0395531	0.0414291	0.118353	0.0465126	0.0379045	0.130598	0.090254	0.0356819	0.0380655	0.042551	0.0799008	0.128644	0.125938	0.110278	0.0840005	0.0720963	0.0962299	0.0748056	0.0748059	0.0980333	0.0612241	0.0820955	0.168081	0.0779127	0.0762499	0.110752	0.064939	0.119196	0.200283	0.161373	0.128142	0.078747	0.071599	0.0879166	0.287358	0.105145	0.132462	0.110279	0.0725982	0.141092	0.0419615	0.0915905	0.0452329	0.107445	0.0347478	0.0370841	0.0372546	0.0372587	0.0374157	0.0375048	0.037045	0.0373153	0.0369224	0.0358933	0.0373623	0.0344031	0.0372331	0.03748	0.0540456	0.0372951	0.0371583	0.0372887	0.0374252	0.0373425	0.0373381
unclassified-kra_ERR9709107_	0.0687024	0.0214973	0.0961579	0.0222872	0.135191	0.0326099	0.0286131	0.231231	0	0	0.115194	0.0298541	0.0443003	0.105283	0.0385529	0.0381486	0.11991	0.0446346	0.0351335	0.131007	0.0901403	0.0342801	0.0360851	0.0409774	0.0799871	0.127058	0.125737	0.109161	0.0835273	0.0701409	0.0947045	0.073831	0.0744931	0.0962976	0.0584655	0.0808878	0.163966	0.0759591	0.076218	0.112009	0.063578	0.119335	0.202977	0.163605	0.130008	0.0774753	0.0699478	0.0864167	0.24807	0.106063	0.132108	0.108117	0.0690264	0.141417	0.0394674	0.0907456	0.0427856	0.108694	0.032348	0.0346496	0.0347127	0.0349176	0.0350198	0.0351179	0.034842	0.0346626	0.0343782	0.0333342	0.0349923	0.0319247	0.0347437	0.0348563	0.0511108	0.0347494	0.0348461	0.0349138	0.0349291	0.0350435	0.0350894
